,DAY,DEPARTURE_TIME,FLIGHT_NUMBER,DESTINATION_AIRPORT,ORIGIN_AIRPORT,DAY_OF_WEEK,TAXI_OUT
58,1,452.0,102,ITO,HNL,4,10.0
59,1,513.0,5467,SFO,ONT,4,19.0
60,1,501.0,108,KOA,HNL,4,12.0
61,1,457.0,730,SEA,ANC,4,16.0
62,1,454.0,206,OGG,HNL,4,10.0
63,1,514.0,1500,IAH,ORD,4,23.0
64,1,507.0,1323,MIA,MCO,4,14.0
65,1,506.0,103,MYR,BOS,4,16.0
66,1,500.0,7404,MSP,HIB,4,37.0
67,1,508.0,7419,MSP,ABR,4,21.0
68,1,0.0,5254,IAH,MAF,4,0.0
69,1,510.0,480,PHX,SEA,4,15.0
70,1,703.0,1057,MIA,DFW,4,15.0
71,1,510.0,2454,MIA,BOS,4,14.0
72,1,517.0,4354,IAH,MKE,4,12.0
73,1,620.0,425,PHX,PDX,4,13.0
74,1,618.0,89,MIA,IAH,4,19.0
75,1,511.0,2099,DTW,BNA,4,30.0
76,1,517.0,4685,IAH,BRO,4,15.0
77,1,514.0,5583,ATL,VPS,4,9.0
78,1,525.0,5484,SFO,BOI,4,24.0
79,1,517.0,7370,MSP,BJI,4,31.0
80,1,513.0,103,LIH,HNL,4,7.0
81,1,525.0,5187,ATL,BNA,4,32.0
82,1,0.0,2859,DFW,SGF,4,0.0
83,1,532.0,1201,IAH,PHL,4,12.0
84,1,534.0,1221,DEN,PDX,4,9.0
85,1,529.0,1607,DEN,SEA,4,10.0
86,1,623.0,328,DFW,DEN,4,32.0
87,1,527.0,5764,ORD,SBN,4,12.0
88,1,526.0,1279,MCO,PHL,4,12.0
89,1,526.0,409,FLL,ORD,4,12.0
90,1,0.0,5460,SFO,RDD,4,0.0
91,1,526.0,6391,DEN,EUG,4,26.0
92,1,550.0,1532,DEN,SFO,4,15.0
93,1,540.0,1167,DEN,ORD,4,10.0
94,1,541.0,1012,IAH,IAD,4,12.0
95,1,530.0,2001,JFK,BUF,4,17.0
96,1,528.0,2807,JFK,PWM,4,13.0
97,1,618.0,2023,SJU,JFK,4,13.0
98,1,523.0,4557,IAH,CRP,4,12.0
99,1,530.0,5241,DTW,PIA,4,18.0
100,1,550.0,5498,DTW,ORD,4,18.0
101,1,530.0,6512,LAX,FAT,4,33.0
102,1,634.0,1577,DEN,SMF,4,26.0
103,1,535.0,4986,LAX,AUS,4,16.0
104,1,536.0,727,BWI,BOS,4,14.0
105,1,529.0,1012,BOS,ORD,4,16.0
106,1,808.0,824,DTW,PHX,4,19.0
107,1,546.0,941,ATL,MCI,4,11.0
108,1,537.0,2079,DTW,BOS,4,15.0
109,1,556.0,3268,IAD,ATL,4,9.0
110,1,531.0,4160,EWR,JAX,4,9.0
111,1,538.0,6285,DEN,MFR,4,42.0
112,1,537.0,5184,IAH,SLC,4,18.0
113,1,539.0,6358,DEN,IDA,4,30.0
114,1,534.0,161,DEN,MSN,4,7.0
115,1,543.0,4833,DTW,MKE,4,10.0
116,1,542.0,1119,DEN,GEG,4,21.0
117,1,541.0,1237,IAH,SEA,4,13.0
118,1,550.0,1540,IAH,DCA,4,10.0
119,1,539.0,1433,DFW,SAT,4,12.0
120,1,640.0,2299,MIA,JFK,4,17.0
121,1,551.0,721,PBI,BOS,4,16.0
122,1,543.0,917,JFK,BOS,4,12.0
123,1,545.0,939,BQN,JFK,4,17.0
124,1,603.0,1890,ATL,DFW,4,13.0
125,1,540.0,4646,EWR,CHS,4,26.0
126,1,621.0,365,DEN,MKE,4,9.0
127,1,538.0,117,DEN,MSP,4,15.0
128,1,0.0,2926,DFW,CHS,4,0.0
129,1,658.0,2599,LAX,DEN,4,11.0
130,1,542.0,5482,DEN,SBA,4,25.0
131,1,0.0,6457,LAX,SMX,4,0.0
132,1,540.0,218,KOA,HNL,4,10.0
133,1,540.0,515,BUF,BOS,4,17.0
134,1,547.0,228,EWR,PDX,4,10.0
135,1,545.0,641,PHX,IND,4,12.0
136,1,550.0,495,DEN,LAX,4,11.0
137,1,629.0,507,IAH,CLE,4,11.0
138,1,552.0,1553,EWR,BOS,4,12.0
139,1,550.0,403,PHX,DEN,4,15.0
140,1,544.0,446,PHX,MCI,4,15.0
141,1,548.0,1178,DFW,AUS,4,19.0
142,1,600.0,2410,DFW,LAX,4,17.0
143,1,550.0,2453,ATL,GSP,4,26.0
144,1,548.0,2228,EWR,MCO,4,12.0
145,1,548.0,4555,IAH,MCI,4,15.0
146,1,543.0,5698,IAD,BDL,4,9.0
147,1,0.0,3534,DFW,ABI,4,0.0
148,1,548.0,4339,IAH,RIC,4,14.0
149,1,556.0,6204,DEN,BFL,4,31.0
150,1,557.0,6261,SFO,SAT,4,9.0
151,1,605.0,5160,IAH,OMA,4,16.0
152,1,549.0,6224,DEN,RDM,4,12.0
153,1,551.0,860,BDL,FLL,4,10.0
154,1,554.0,5230,ATL,CID,4,27.0
155,1,553.0,526,DEN,SFO,4,11.0
156,1,557.0,1222,LAX,MCO,4,10.0
157,1,549.0,1507,EWR,TPA,4,9.0
158,1,555.0,1094,DFW,SEA,4,24.0
159,1,551.0,1233,DFW,BOS,4,15.0
160,1,550.0,115,JFK,SYR,4,27.0
161,1,550.0,185,JFK,ROC,4,20.0
162,1,546.0,2519,DFW,TYR,4,9.0
163,1,554.0,3928,ORD,MCI,4,19.0
164,1,555.0,3941,ORD,LAN,4,27.0
165,1,928.0,5976,EWR,BUF,4,38.0
166,1,0.0,3161,DFW,XNA,4,0.0
167,1,538.0,5677,EWR,GSO,4,19.0
168,1,547.0,224,LGA,ORD,4,16.0
169,1,555.0,1457,IAH,LAX,4,12.0
170,1,552.0,1205,MIA,EWR,4,22.0
171,1,758.0,5547,DEN,ONT,4,4.0
172,1,556.0,210,DEN,MSP,4,14.0
173,1,555.0,214,IAH,PBI,4,17.0
174,1,751.0,247,IAH,PHX,4,31.0
175,1,600.0,256,IAH,RSW,4,13.0
176,1,603.0,319,MCO,EWR,4,14.0
177,1,612.0,374,ORD,OMA,4,19.0
178,1,551.0,635,PHX,SMF,4,24.0
179,1,558.0,646,PHX,OAK,4,28.0
180,1,555.0,1941,CLT,PVD,4,11.0
181,1,557.0,422,DEN,RNO,4,22.0
182,1,622.0,544,IAH,PIT,4,19.0
183,1,552.0,1016,IAH,DEN,4,11.0
184,1,556.0,4122,BWI,BOS,4,17.0
185,1,602.0,4822,BWI,LAS,4,10.0
186,1,607.0,2215,HOU,ABQ,4,29.0
187,1,601.0,676,SLC,PHX,4,9.0
188,1,559.0,2787,FLL,PIT,4,9.0
189,1,606.0,4859,BWI,PVD,4,11.0
190,1,554.0,597,ATL,SFO,4,9.0
191,1,557.0,1158,ORD,SFO,4,21.0
192,1,555.0,1163,EWR,MCO,4,10.0
193,1,613.0,1188,IAH,PDX,4,11.0
194,1,557.0,1198,ORD,BOS,4,13.0
195,1,605.0,1224,LAX,SFO,4,11.0
196,1,616.0,1296,LAX,SAT,4,10.0
197,1,603.0,1431,LAX,BOS,4,13.0
198,1,606.0,1637,EWR,SEA,4,10.0
199,1,607.0,1735,ORD,LAX,4,13.0
200,1,553.0,410,PHX,IAH,4,14.0
201,1,557.0,459,PHX,MCO,4,13.0
202,1,557.0,610,PHX,SFO,4,16.0
203,1,606.0,72,MCO,DFW,4,18.0
204,1,604.0,196,PHL,MIA,4,18.0
205,1,601.0,304,DFW,SLC,4,33.0
206,1,0.0,175,DFW,DCA,4,0.0
207,1,559.0,281,DFW,MIA,4,14.0
208,1,643.0,233,MIA,BWI,4,21.0
209,1,554.0,1100,LGA,DFW,4,33.0
210,1,0.0,1103,DFW,LGA,4,0.0
211,1,601.0,1028,ORD,DEN,4,14.0
212,1,606.0,1039,DFW,MCI,4,13.0
213,1,0.0,1055,DFW,MCO,4,0.0
214,1,0.0,1180,DFW,SFO,4,0.0
215,1,556.0,1345,DFW,TUL,4,12.0
216,1,708.0,1297,MIA,LGA,4,17.0
217,1,555.0,1411,DFW,LIT,4,12.0
218,1,558.0,1084,LGA,MIA,4,13.0
219,1,557.0,1088,DFW,LAS,4,16.0
220,1,556.0,1534,DFW,PDX,4,11.0
221,1,554.0,1573,DFW,TPA,4,10.0
222,1,611.0,1660,DFW,SMF,4,29.0
223,1,555.0,2204,MIA,MSY,4,12.0
224,1,557.0,1515,ORD,LAX,4,13.0
225,1,554.0,2307,DFW,OMA,4,30.0
226,1,610.0,2363,DFW,OKC,4,42.0
227,1,557.0,81,ANC,SEA,4,25.0
228,1,544.0,162,ANC,FAI,4,26.0
229,1,550.0,200,SJC,SEA,4,21.0
230,1,555.0,342,OAK,SEA,4,11.0
231,1,555.0,406,SJC,PDX,4,8.0
232,1,555.0,477,SEA,LAX,4,21.0
233,1,555.0,631,SEA,PHX,4,10.0
234,1,549.0,683,SEA,DEN,4,16.0
235,1,558.0,699,SEA,GEG,4,23.0
236,1,557.0,130,JFK,RSW,4,10.0
237,1,559.0,154,JFK,PBI,4,11.0
238,1,554.0,353,PBI,JFK,4,16.0
239,1,553.0,226,JFK,TPA,4,10.0
240,1,559.0,272,LGA,FLL,4,16.0
241,1,552.0,447,LGB,OAK,4,15.0
242,1,600.0,371,FLL,LGA,4,22.0
243,1,557.0,583,MCO,JFK,4,16.0
244,1,556.0,605,FLL,EWR,4,12.0
245,1,554.0,525,TPA,JFK,4,21.0
246,1,557.0,746,JFK,PSE,4,9.0
247,1,550.0,776,JFK,MSY,4,11.0
248,1,559.0,794,JFK,AUS,4,16.0
249,1,601.0,838,JFK,BQN,4,11.0
250,1,554.0,892,BOS,TPA,4,12.0
251,1,600.0,1678,JFK,JAX,4,14.0
252,1,557.0,1790,BOS,DCA,4,19.0
253,1,605.0,421,ATL,JFK,4,18.0
254,1,604.0,731,DTW,LGA,4,10.0
255,1,600.0,743,SLC,RNO,4,31.0
256,1,556.0,750,JFK,BOS,4,20.0
257,1,600.0,809,MSP,BOS,4,23.0
258,1,601.0,904,ATL,LGA,4,11.0
259,1,602.0,977,ATL,ORD,4,19.0
260,1,557.0,1088,MSP,ANC,4,11.0
261,1,601.0,1098,ATL,ATW,4,9.0
262,1,804.0,1205,ATL,PHX,4,16.0
263,1,554.0,1234,ATL,PNS,4,8.0
264,1,554.0,1235,SLC,MCO,4,15.0
265,1,0.0,1462,DFW,ONT,4,0.0
266,1,605.0,913,MIA,DCA,4,12.0
267,1,554.0,1961,ATL,RIC,4,12.0
268,1,559.0,2154,ATL,LAX,4,12.0
269,1,558.0,2282,ATL,BOS,4,21.0
270,1,559.0,2417,DTW,LAS,4,19.0
271,1,550.0,1540,ATL,OKC,4,41.0
272,1,550.0,1574,MSP,MCO,4,12.0
273,1,617.0,1700,ATL,MEM,4,10.0
274,1,555.0,1867,ATL,TUL,4,15.0
275,1,551.0,1937,DTW,BWI,4,18.0
276,1,554.0,159,PHL,BOS,4,18.0
277,1,557.0,198,LGA,MCO,4,15.0
278,1,610.0,1502,JFK,FLL,4,13.0
279,1,627.0,1504,JFK,SJU,4,17.0
280,1,552.0,1600,DCA,BOS,4,17.0
281,1,559.0,2533,DFW,TYS,4,33.0
282,1,555.0,4213,ORD,MHT,4,16.0
283,1,726.0,4431,EWR,SAV,4,18.0
284,1,552.0,4411,EWR,MEM,4,17.0
285,1,559.0,4756,ORD,CLT,4,26.0
286,1,553.0,4768,IAD,TYS,4,22.0
287,1,556.0,4740,ORD,GRB,4,12.0
288,1,552.0,5103,DTW,ABE,4,12.0
289,1,559.0,5275,ATL,JAN,4,12.0
290,1,552.0,5491,ATL,OAJ,4,23.0
291,1,603.0,5978,ORD,FAR,4,37.0
292,1,556.0,5917,ORD,JAN,4,13.0
293,1,616.0,6133,ORD,ERI,4,11.0
294,1,600.0,6082,ORD,ATW,4,15.0
295,1,556.0,6122,ORD,LEX,4,11.0
296,1,550.0,6143,ORD,CWA,4,25.0
297,1,0.0,865,DEN,MSO,4,0.0
298,1,0.0,1256,MIA,ORD,4,0.0
299,1,556.0,1104,FLL,CLE,4,10.0
300,1,552.0,1057,SFO,IAH,4,16.0
301,1,605.0,144,DEN,SEA,4,10.0
302,1,552.0,1056,IAH,SFO,4,15.0
303,1,557.0,901,ATL,TTN,4,10.0
304,1,619.0,902,TTN,ATL,4,11.0
305,1,553.0,202,ITO,HNL,4,12.0
306,1,0.0,2898,DFW,MAF,4,0.0
307,1,0.0,2957,DFW,AMA,4,0.0
308,1,0.0,2962,DFW,CLL,4,0.0
309,1,0.0,3014,DFW,HOU,4,0.0
310,1,0.0,3015,BTR,DFW,4,0.0
311,1,0.0,3079,DFW,JLN,4,0.0
312,1,0.0,3189,DFW,CID,4,0.0
313,1,0.0,3302,DFW,MLI,4,0.0
314,1,0.0,3338,DFW,GSP,4,0.0
315,1,555.0,3350,JFK,RDU,4,32.0
316,1,556.0,3355,MIA,CVG,4,15.0
317,1,0.0,3251,DFW,MHK,4,0.0
318,1,0.0,3377,DFW,MOB,4,0.0
319,1,0.0,3441,DFW,TLH,4,0.0
320,1,555.0,3540,MIA,PNS,4,18.0
321,1,600.0,3488,MIA,BHM,4,19.0
322,1,0.0,3597,DFW,CVG,4,0.0
323,1,0.0,3611,DFW,CAE,4,0.0
324,1,0.0,3678,DFW,TXK,4,0.0
325,1,551.0,188,LAS,OAK,4,10.0
326,1,600.0,925,OAK,DFW,4,13.0
327,1,742.0,943,RSW,ACY,4,10.0
328,1,558.0,316,LGA,DTW,4,11.0
329,1,603.0,972,FLL,DFW,4,56.0
330,1,551.0,2622,LAX,SMF,4,31.0
331,1,600.0,6360,DEN,RAP,4,33.0
332,1,604.0,6369,SFO,TUS,4,22.0
333,1,552.0,5330,ORD,EAU,4,9.0
334,1,556.0,5292,ORD,DLH,4,31.0
335,1,557.0,6276,ORD,FSD,4,27.0
336,1,556.0,6235,SFO,AUS,4,21.0
337,1,557.0,3489,SEA,FAT,4,22.0
338,1,550.0,3461,PDX,ONT,4,15.0
339,1,550.0,7423,BRD,INL,4,31.0
340,1,0.0,5318,ORD,CMX,4,0.0
341,1,0.0,5445,SFO,SMF,4,0.0
342,1,639.0,5242,LAX,BOI,4,24.0
343,1,604.0,5462,ORD,SPI,4,20.0
344,1,654.0,5466,LAX,CLD,4,48.0
345,1,559.0,5550,DEN,COD,4,27.0
346,1,600.0,5574,SFO,FAT,4,40.0
347,1,555.0,3221,MIA,CMH,4,17.0
348,1,0.0,3224,DFW,LRD,4,0.0
349,1,601.0,5522,DEN,PSC,4,22.0
350,1,604.0,5592,DEN,CPR,4,31.0
351,1,550.0,5604,SFO,ACV,4,29.0
352,1,622.0,5170,IAH,DAL,4,12.0
353,1,551.0,5429,ORD,PAH,4,8.0
354,1,556.0,5435,SFO,PSC,4,37.0
355,1,610.0,6378,ORD,CID,4,8.0
356,1,557.0,6401,SFO,EUG,4,19.0
357,1,556.0,6332,DEN,DFW,4,27.0
358,1,555.0,6346,SFO,MRY,4,13.0
359,1,604.0,6465,LAX,SLC,4,32.0
360,1,558.0,7392,DTW,ESC,4,15.0
361,1,557.0,6403,SFO,MFR,4,26.0
362,1,559.0,6497,DEN,FAT,4,34.0
363,1,552.0,576,EWR,SFO,4,17.0
364,1,601.0,1410,IAH,LAS,4,13.0
365,1,602.0,1689,SFO,EWR,4,11.0
366,1,559.0,6020,DEN,ISN,4,29.0
367,1,557.0,113,LIH,HNL,4,10.0
368,1,632.0,5629,SFO,PSP,4,11.0
369,1,812.0,6420,DEN,PSP,4,8.0
370,1,610.0,223,IAH,SAT,4,14.0
371,1,603.0,996,EWR,LAX,4,16.0
372,1,601.0,1721,SFO,LAX,4,13.0
373,1,558.0,4390,IAD,CLE,4,18.0
374,1,605.0,5732,IAD,CAE,4,21.0
375,1,603.0,756,DEN,PHX,4,25.0
376,1,613.0,234,IAH,SMF,4,29.0
377,1,605.0,415,SFO,JFK,4,20.0
378,1,614.0,647,PHX,BOS,4,14.0
379,1,601.0,829,CLT,BOS,4,25.0
380,1,601.0,1743,MIA,DTW,4,12.0
381,1,600.0,1023,EWR,FLL,4,13.0
382,1,604.0,2505,DEN,GEG,4,14.0
383,1,559.0,239,STL,SAT,4,9.0
384,1,609.0,474,DEN,ONT,4,13.0
385,1,602.0,1245,EWR,CLE,4,10.0
386,1,612.0,560,PHX,DFW,4,15.0
387,1,0.0,310,DFW,MFE,4,0.0
388,1,557.0,375,DFW,STL,4,15.0
389,1,557.0,378,MIA,SJU,4,17.0
390,1,605.0,1291,DFW,MKE,4,14.0
391,1,602.0,320,SFO,SEA,4,21.0
392,1,602.0,602,LAS,SEA,4,23.0
393,1,553.0,233,JFK,BTV,4,12.0
394,1,603.0,601,FLL,JFK,4,17.0
395,1,557.0,735,LGB,SFO,4,13.0
396,1,621.0,922,BOS,PBI,4,13.0
397,1,600.0,1184,JFK,MCO,4,17.0
398,1,738.0,1434,MCO,SJU,4,12.0
399,1,601.0,1065,ATL,BDL,4,14.0
400,1,701.0,1456,ATL,RDU,4,11.0
401,1,604.0,1723,SLC,SFO,4,15.0
402,1,613.0,4642,IAH,TUS,4,29.0
403,1,600.0,4928,ATL,PIA,4,9.0
404,1,556.0,609,DEN,IND,4,9.0
405,1,607.0,821,DEN,MCI,4,13.0
406,1,702.0,133,DEN,DFW,4,18.0
407,1,0.0,2881,DFW,FSM,4,0.0
408,1,0.0,2771,DFW,AEX,4,0.0
409,1,0.0,3288,DFW,SPS,4,0.0
410,1,0.0,3328,DFW,ACT,4,0.0
411,1,0.0,3408,DFW,SJT,4,0.0
412,1,0.0,3643,DFW,JAN,4,0.0
413,1,600.0,286,OGG,HNL,4,12.0
414,1,602.0,5181,LAX,OKC,4,40.0
415,1,610.0,6499,DEN,FAR,4,32.0
416,1,601.0,1160,IAH,SFO,4,13.0
417,1,558.0,1601,FLL,EWR,4,13.0
418,1,559.0,6461,DEN,MTJ,4,29.0
419,1,601.0,606,DTW,RSW,4,14.0
420,1,602.0,7389,RKS,GCC,4,12.0
421,1,606.0,220,EWR,MSY,4,12.0
422,1,603.0,654,MCO,ORD,4,11.0
423,1,608.0,6119,ORD,RIC,4,12.0
424,1,559.0,5456,SFO,RDM,4,14.0
425,1,601.0,205,HNL,OGG,4,8.0
426,1,559.0,4494,SLC,SJC,4,31.0
427,1,607.0,5370,MBS,ORD,4,13.0
428,1,616.0,1709,CLT,EWR,4,29.0
429,1,610.0,828,BWI,PHX,4,12.0
430,1,605.0,1632,IAD,SEA,4,13.0
431,1,606.0,1725,SFO,LAS,4,13.0
432,1,603.0,168,MIA,DFW,4,10.0
433,1,0.0,1315,DFW,BNA,4,0.0
434,1,603.0,1336,DFW,PHX,4,18.0
435,1,605.0,1619,MIA,BOS,4,13.0
436,1,609.0,1686,STL,LAX,4,19.0
437,1,608.0,345,SEA,OAK,4,13.0
438,1,611.0,454,LAX,SEA,4,19.0
439,1,603.0,57,IAD,BOS,4,18.0
440,1,620.0,24,JFK,LAX,4,10.0
441,1,603.0,1279,FLL,DCA,4,16.0
442,1,603.0,1836,BOS,DTW,4,12.0
443,1,607.0,1361,LAX,BNA,4,10.0
444,1,608.0,327,ATL,PHL,4,16.0
445,1,756.0,1492,MSP,PHX,4,20.0
446,1,625.0,1554,FLL,SJU,4,13.0
447,1,607.0,4556,IAH,VPS,4,11.0
448,1,617.0,6071,DEN,GUC,4,19.0
449,1,648.0,1252,LGA,MIA,4,16.0
450,1,609.0,3323,MIA,RIC,4,19.0
451,1,603.0,3601,LGA,DTW,4,12.0
452,1,605.0,3551,MIA,ORF,4,25.0
453,1,600.0,5572,DEN,MOT,4,20.0
454,1,603.0,1312,MIA,STL,4,13.0
455,1,607.0,269,FLL,BOS,4,17.0
456,1,641.0,4506,IAH,MLU,4,3.0
457,1,0.0,5337,DEN,MAF,4,0.0
458,1,608.0,562,LAS,LAX,4,14.0
459,1,612.0,416,ORD,PDX,4,10.0
460,1,612.0,1403,SJU,JFK,4,15.0
461,1,620.0,107,HNL,KOA,4,11.0
462,1,607.0,4681,SLC,EUG,4,18.0
463,1,605.0,1754,PHX,RNO,4,24.0
464,1,629.0,1789,CLT,PHX,4,12.0
465,1,831.0,1966,ATL,CMH,4,13.0
466,1,612.0,2351,ATL,HOU,4,7.0
467,1,613.0,137,PHX,HOU,4,9.0
468,1,0.0,1125,DFW,DTW,4,0.0
469,1,613.0,1165,JFK,BOS,4,16.0
470,1,0.0,1581,DCA,DFW,4,0.0
471,1,618.0,2253,DFW,MSP,4,19.0
472,1,609.0,504,SNA,SEA,4,22.0
473,1,607.0,99,DCA,BDL,4,13.0
474,1,731.0,962,BOS,SJU,4,12.0
475,1,615.0,2006,EWR,FLL,4,20.0
476,1,613.0,828,ATL,MOB,4,8.0
477,1,611.0,978,SLC,SAN,4,20.0
478,1,609.0,985,SLC,LAS,4,13.0
479,1,609.0,1275,DTW,DCA,4,25.0
480,1,608.0,2384,SLC,SMF,4,36.0
481,1,613.0,1610,DTW,DEN,4,15.0
482,1,616.0,1866,ATL,SFO,4,11.0
483,1,611.0,1919,MSP,LGA,4,13.0
484,1,1219.0,2522,DFW,LAW,4,27.0
485,1,604.0,2512,DFW,BRO,4,9.0
486,1,607.0,2572,MEI,PIB,4,24.0
487,1,623.0,4531,IAH,CHS,4,27.0
488,1,621.0,4655,IAH,MEM,4,13.0
489,1,609.0,5123,ATL,MGM,4,13.0
490,1,617.0,582,DEN,SLC,4,33.0
491,1,609.0,439,DEN,OMA,4,19.0
492,1,0.0,2958,DFW,FAR,4,0.0
493,1,859.0,3432,JFK,DCA,4,10.0
494,1,0.0,3613,DFW,MSN,4,0.0
495,1,610.0,3568,LGA,CMH,4,11.0
496,1,613.0,5348,LAX,SBP,4,21.0
497,1,614.0,5256,IAH,COS,4,32.0
498,1,612.0,4747,SLC,OAK,4,10.0
499,1,611.0,5464,DEN,LAR,4,30.0
500,1,614.0,5608,LAX,SAN,4,16.0
501,1,608.0,5636,SFO,BFL,4,30.0
502,1,631.0,6571,PHX,DRO,4,61.0
503,1,610.0,6573,PHX,MRY,4,8.0
504,1,614.0,6616,PHX,FAT,4,28.0
505,1,618.0,612,ORD,MSP,4,10.0
506,1,619.0,940,ORD,DFW,4,12.0
507,1,613.0,6368,DEN,BIS,4,18.0
508,1,617.0,101,HNL,ITO,4,7.0
509,1,631.0,762,LGA,PBI,4,11.0
510,1,648.0,5249,ORD,SAT,4,8.0
511,1,614.0,207,IAH,FLL,4,17.0
512,1,625.0,1931,CLT,BUF,4,21.0
513,1,613.0,732,ORD,SEA,4,13.0
514,1,623.0,698,FLL,CMH,4,20.0
515,1,618.0,799,HOU,LAS,4,11.0
516,1,631.0,687,MCO,PVD,4,7.0
517,1,620.0,823,BWI,SAN,4,18.0
518,1,617.0,603,MDW,SAN,4,17.0
519,1,615.0,885,PHX,SMF,4,19.0
520,1,618.0,1192,DEN,SAN,4,18.0
521,1,615.0,1568,EWR,SAN,4,18.0
522,1,614.0,460,PHX,SJC,4,20.0
523,1,0.0,269,DFW,SJC,4,0.0
524,1,614.0,1186,BOS,DFW,4,36.0
525,1,612.0,1390,DFW,SAN,4,27.0
526,1,619.0,2420,DFW,LAX,4,15.0
527,1,613.0,545,SEA,ONT,4,12.0
528,1,612.0,955,MIA,RDU,4,48.0
529,1,623.0,2129,ATL,ROC,4,25.0
530,1,613.0,1518,ATL,MCO,4,22.0
531,1,619.0,1588,MSP,DCA,4,13.0
532,1,621.0,4468,IAH,CAE,4,25.0
533,1,620.0,5534,ATL,BTR,4,10.0
534,1,609.0,1338,MSP,IAD,4,12.0
535,1,0.0,3205,DFW,SAV,4,0.0
536,1,0.0,3173,DFW,GRI,4,0.0
537,1,616.0,470,SAN,PDX,4,12.0
538,1,625.0,742,MSP,DFW,4,15.0
539,1,630.0,4762,SLC,PSP,4,16.0
540,1,617.0,4716,MSP,ISN,4,33.0
541,1,620.0,5616,DEN,HLN,4,28.0
542,1,637.0,1026,IAH,MCO,4,13.0
543,1,616.0,1481,RIC,BOS,4,14.0
544,1,613.0,344,DEN,BZN,4,10.0
545,1,620.0,4624,SLC,FAT,4,35.0
546,1,626.0,6372,DEN,FSD,4,21.0
547,1,620.0,200,ORD,IAH,4,15.0
548,1,623.0,206,IAH,EWR,4,11.0
549,1,621.0,1515,DTW,PIT,4,9.0
550,1,616.0,1982,CLT,FLL,4,11.0
551,1,624.0,525,EWR,MIA,4,17.0
552,1,625.0,871,ATL,DEN,4,10.0
553,1,625.0,343,PHX,MDW,4,22.0
554,1,624.0,598,PHL,LAX,4,16.0
555,1,622.0,127,DFW,IAD,4,14.0
556,1,0.0,387,AUS,LAX,4,0.0
557,1,620.0,1079,DFW,CLT,4,27.0
558,1,909.0,1207,DFW,PHL,4,21.0
559,1,618.0,1343,CLT,DFW,4,18.0
560,1,0.0,1635,DFW,ATL,4,0.0
561,1,618.0,2379,DFW,RDU,4,27.0
